Depth,BD,OM,Acc_Cs,Cs_yrs,Acc_Pb,Pb_yrs,Elev_m_NAVD88
0,0.375407607,14.92797905,0.41,46,0.34,100,1.803
2,0.62974428,11.61508704,,,,,
4,0.750645448,8.837330553,,,,,
6,0.572872913,8.707124011,,,,,
8,0.625132323,9.681227863,,,,,
10,0.694509731,8.363636364,,,,,
12,0.701922815,8.753675639,,,,,
14,0.616559177,10.83459788,,,,,
16,0.632290759,8.188940786,,,,,
18,0.642250321,8.095195168,,,,,
20,0.766659972,7.201343691,,,,,
22,0.582973947,7.760865211,,,,,
24,0.59400869,7.926274272,,,,,
26,0.865746303,8.037984148,,,,,
28,0.492998352,10.37950437,,,,,
30,0.61053251,9.809768638,,,,,
32,0.695273675,8.759521219,,,,,
34,0.542881048,7.991404891,,,,,
36,0.663216333,7.733659133,,,,,
38,0.532921486,7.69765594,,,,,
40,0.678806443,8.097345133,,,,,
42,0.63330935,8.06863446,,,,,
44,0.723143474,8.273657289,,,,,
46,0.601365185,8.245243129,,,,,
48,0.661575268,7.222832053,,,,,
