Depth,BD,OM,Acc_Cs,Cs_yrs,Acc_Pb,Pb_yrs,Elev_m_NAVD88
0,0.46074295,31.15241636,0.28,46,0.43,100,1.821
2,0.381575745,18.46749402,,,,,
4,0.386753586,19.16489738,,,,,
6,0.442945891,14.08512505,,,,,
8,0.386272584,16.38918919,,,,,
10,0.445266016,16.1420205,,,,,
12,0.391846544,17.92226738,,,,,
14,0.369494116,18.47026179,,,,,
16,0.314263814,19.56118665,,,,,
18,0.296212107,20.63726941,,,,,
20,0.392553899,14.09774436,,,,,
22,0.425177126,15.20115635,,,,,
24,0.355997777,22.04533189,,,,,
26,0.351527292,19.98398078,,,,,
28,0.440003293,16.87943262,,,,,
30,0.437824639,14.58333333,,,,,
32,0.52233945,14.43947825,,,,,
34,0.497497132,15.45614476,,,,,
36,0.542230281,14.02321083,,,,,
38,0.507456695,14.40168687,,,,,
40,0.512436476,12.99140849,,,,,
42,0.588519612,13.28560064,,,,,
44,0.626235797,13.5816785,,,,,
46,0.519029027,16.07260726,,,,,
48,0.411992023,16.72350792,,,,,
