Depth,BD,OM,Acc_Cs,Cs_yrs,Acc_Pb,Pb_yrs,Elev_m_NAVD88
0,0.302861247,20.68170169,0.85,46,0.541666667,96,1.649
2,0.393402726,17.08867354,,,,,
4,0.418103573,12.00219419,,,,,
6,0.481058195,9.951319978,,,,,
8,0.415755153,10.74608905,,,,,
10,0.431345264,13.3823225,,,,,
12,0.367937935,12.86022597,,,,,
14,0.386612115,13.74981965,,,,,
16,0.444671838,12.30963134,,,,,
18,0.440314529,13.59467133,,,,,
20,0.424752713,12.99370939,,,,,
22,0.454122105,12.25834323,,,,,
24,0.402683227,10.99418444,,,,,
26,0.406220004,11.07227305,,,,,
28,0.372125478,13.36546889,,,,,
30,0.429081727,12.11865598,,,,,
32,0.390290362,14.8763451,,,,,
34,0.467957975,15.54952861,,,,,
36,0.395524791,14.7598155,,,,,
38,0.4614786,12.92637156,,,,,
40,0.38443346,12.12059895,,,,,
42,0.473560229,12.12149018,,,,,
44,0.526215757,11.72651254,,,,,
46,0.527290937,10.87065424,,,,,
48,0.535269905,9.030010718,,,,,
50,0.526130875,9.304592721,,,,,
52,0.479869838,10.05266238,,,,,
