Depth,BD,OM,Acc_Cs,Cs_yrs,Acc_Pb,Pb_yrs,Elev_m_NAVD88
0,0.30006012,9.670021659,0.39,46,0.38,100,1.873
2,0.57909764,8.58942339,,,,,
4,0.50762646,8.561542264,,,,,
6,0.679598681,9.895588374,,,,,
8,0.624623027,10.79677898,,,,,
10,0.5514259,9.221902017,,,,,
12,0.527460703,7.827164866,,,,,
14,0.524037103,7.675664537,,,,,
16,0.438616877,8.316929134,,,,,
18,0.550860016,8.666666667,,,,,
20,0.451830274,8.338430173,,,,,
22,0.600374887,8.332567754,,,,,
24,0.444021071,8.577517315,,,,,
26,0.647371574,6.730025417,,,,,
28,0.638260837,5.835302672,,,,,
30,0.571401614,7.546770954,,,,,
32,0.573184149,7.304116866,,,,,
34,0.59327304,6.582028843,,,,,
36,0.611353042,5.119300997,,,,,
38,0.569675667,7.081974113,,,,,
40,0.462666957,9.227957972,,,,,
42,0.481397725,7.135036496,,,,,
44,0.466684735,8.743462518,,,,,
46,0.486745331,9.071123879,,,,,
48,0.564639297,7.858174947,,,,,
50,0.635035297,6.46574615,,,,,
