Depth,BD,OM,Acc_Cs,Cs_yrs,Acc_Pb,Pb_yrs,Elev_m_NAVD88
0,0.455961229,17.11683742,0.28,46,0.2,100,1.865
2,0.590641678,15.5487522,,,,,
4,0.615483997,12.28959449,,,,,
6,0.653539712,11.78197065,,,,,
8,0.60798603,9.710361828,,,,,
10,0.633677175,10.7678729,,,,,
12,0.447472965,11.3075442,,,,,
14,0.508786523,10.81625504,,,,,
16,0.533062957,13.86596746,,,,,
18,0.473277286,12.22171324,,,,,
20,0.430072024,12.09100758,,,,,
22,0.563224587,10.39973644,,,,,
24,0.482274846,10.855546,,,,,
26,0.451519037,10.92843327,,,,,
28,0.574712037,10.56902897,,,,,
30,0.491923172,12.03914031,,,,,
32,0.467137442,13.00306212,,,,,
34,0.521434035,13.26410658,,,,,
36,0.475144704,14.48380748,,,,,
38,0.50043973,16.37043966,,,,,
40,0.519368558,17.05618183,,,,,
42,0.475003233,17.16010348,,,,,
44,0.485868211,16.738009,,,,,
46,0.527998293,16.5173811,,,,,
48,0.483661262,17.15698095,,,,,
