Depth,BD,OM,Acc_Cs,Cs_yrs,Acc_Pb,Pb_yrs,Elev_m_NAVD88
0,0.268964781,18.17971014,0.33,46,0.31,100,1.829
2,0.483859322,15.97295092,,,,,
4,0.347198277,18.37711369,,,,,
6,0.413293557,17.33671109,,,,,
8,0.41479315,14.44756554,,,,,
10,0.471692811,18.30790569,,,,,
12,0.341850671,14.44485704,,,,,
14,0.446426079,13.6919105,,,,,
16,0.366466636,18.29419036,,,,,
18,0.413576499,16.27608934,,,,,
20,0.380981566,14.84589564,,,,,
22,0.358657433,18.71301775,,,,,
24,0.337521657,16.45280557,,,,,
26,0.359223317,14.3619338,,,,,
28,0.44979309,13.11121539,,,,,
30,0.370399531,13.73993724,,,,,
32,0.377190142,12.80642434,,,,,
34,0.407351772,13.40234518,,,,,
36,0.384829579,14.94634146,,,,,
38,0.506155161,14.81877472,,,,,
40,0.467873092,13.6934909,,,,,
42,0.419008988,13.48127872,,,,,
44,0.520754974,14.74893042,,,,,
46,0.476248179,15.64316157,,,,,
48,0.522961923,17.02873843,,,,,
