Constituent #,Name,Amplitude,Phase,Speed,Description
1,M2,0.953,250.1,28.984104,Principal lunar semidiurnal constituent
2,S2,0.213,273.8,30,Principal solar semidiurnal constituent
3,N2,0.191,232.7,28.43973,Larger lunar elliptic semidiurnal constituent
4,K1,0.397,246.9,15.041069,Lunar diurnal constituent
5,M4,0.049,1.6,57.96821,Shallow water overtides of principal lunar constituent
6,O1,0.225,232.8,13.943035,Lunar diurnal constituent
7,M6,0.021,44.1,86.95232,Shallow water overtides of principal lunar constituent
8,MK3,0.029,66.8,44.025173,Shallow water terdiurnal
9,S4,0.003,96.4,60,Shallow water overtides of principal solar constituent
10,MN4,0.022,342.8,57.423832,Shallow water quarter diurnal constituent
11,NU2,0.046,227.1,28.512583,Larger lunar evectional constituent
12,S6,0.001,322.6,90,Shallow water overtides of principal solar constituent
13,MU2,0.039,357.2,27.968208,Variational constituent
14,2N2,0.018,220.2,27.895355,Lunar elliptical semidiurnal second-order constituent
15,OO1,0.011,307.7,16.139101,Lunar diurnal
16,LAM2,0.025,224.2,29.455626,Smaller lunar evectional constituent
17,S1,0.031,214.9,15,Solar diurnal constituent
18,M1,0.018,283.5,14.496694,Smaller lunar elliptic diurnal constituent
19,J1,0.018,300.3,15.5854435,Smaller lunar elliptic diurnal constituent
20,MM,0,0,0.5443747,Lunar monthly constituent
21,SSA,0.03,272.3,0.0821373,Solar semiannual constituent
22,SA,0.044,200.2,0.0410686,Solar annual constituent
23,MSF,0,0,1.0158958,Lunisolar synodic fortnightly constituent
24,MF,0,0,1.0980331,Lunisolar fortnightly constituent
25,RHO,0.008,227,13.471515,Larger lunar evectional diurnal constituent
26,Q1,0.041,235.1,13.398661,Larger lunar elliptic diurnal constituent
27,T2,0.012,229,29.958933,Larger solar elliptic constituent
28,R2,0.009,43.9,30.041067,Smaller solar elliptic constituent
29,2Q1,0.004,246.5,12.854286,Larger elliptic diurnal
30,P1,0.122,246.1,14.958931,Solar diurnal constituent
31,2SM2,0.011,68.9,31.015896,Shallow water semidiurnal constituent
32,M3,0.011,146.7,43.47616,Lunar terdiurnal constituent
33,L2,0.066,241.2,29.528479,Smaller lunar elliptic semidiurnal constituent
34,2MK3,0.049,68,42.92714,Shallow water terdiurnal constituent
35,K2,0.067,254.3,30.082138,Lunisolar semidiurnal constituent
36,M8,0.006,96.2,115.93642,Shallow water eighth diurnal constituent
37,MS4,0.028,24.3,58.984104,Shallow water quarter diurnal constituent
