Constituent #,Name,Amplitude,Phase,Speed,Description
1,M2,0.885,237.2,28.984104,Principal lunar semidiurnal constituent
2,S2,0.201,254.8,30,Principal solar semidiurnal constituent
3,N2,0.179,216.8,28.43973,Larger lunar elliptic semidiurnal constituent
4,K1,0.404,240,15.041069,Lunar diurnal constituent
5,M4,0.02,316.8,57.96821,Shallow water overtides of principal lunar constituent
6,O1,0.238,224.5,13.943035,Lunar diurnal constituent
7,M6,0.01,43.9,86.95232,Shallow water overtides of principal lunar constituent
8,MK3,0.019,73.1,44.025173,Shallow water terdiurnal
9,S4,0.001,84.6,60,Shallow water overtides of principal solar constituent
10,MN4,0.009,300.2,57.423832,Shallow water quarter diurnal constituent
11,NU2,0.041,216.4,28.512583,Larger lunar evectional constituent
12,S6,0.001,344,90,Shallow water overtides of principal solar constituent
13,MU2,0.021,353.2,27.968208,Variational constituent
14,2N2,0.018,199.9,27.895355,Lunar elliptical semidiurnal second-order constituent
15,OO1,0.013,288.1,16.139101,Lunar diurnal
16,LAM2,0.018,215.3,29.455626,Smaller lunar evectional constituent
17,S1,0.016,223.8,15,Solar diurnal constituent
18,M1,0.016,272.8,14.496694,Smaller lunar elliptic diurnal constituent
19,J1,0.02,276,15.5854435,Smaller lunar elliptic diurnal constituent
20,MM,0,0,0.5443747,Lunar monthly constituent
21,SSA,0.022,265.9,0.0821373,Solar semiannual constituent
22,SA,0.055,181.7,0.0410686,Solar annual constituent
23,MSF,0,0,1.0158958,Lunisolar synodic fortnightly constituent
24,MF,0.018,149.6,1.0980331,Lunisolar fortnightly constituent
25,RHO,0.009,222.6,13.471515,Larger lunar evectional diurnal constituent
26,Q1,0.044,222.1,13.398661,Larger lunar elliptic diurnal constituent
27,T2,0.01,222.6,29.958933,Larger solar elliptic constituent
28,R2,0.007,58.6,30.041067,Smaller solar elliptic constituent
29,2Q1,0.006,217.8,12.854286,Larger elliptic diurnal
30,P1,0.126,239.3,14.958931,Solar diurnal constituent
31,2SM2,0.008,57.8,31.015896,Shallow water semidiurnal constituent
32,M3,0.005,127.9,43.47616,Lunar terdiurnal constituent
33,L2,0.049,233.6,29.528479,Smaller lunar elliptic semidiurnal constituent
34,2MK3,0.036,60.2,42.92714,Shallow water terdiurnal constituent
35,K2,0.064,239.1,30.082138,Lunisolar semidiurnal constituent
36,M8,0.001,88.5,115.93642,Shallow water eighth diurnal constituent
37,MS4,0.011,343.4,58.984104,Shallow water quarter diurnal constituent
