Site,Region,Date,Northing,Easting,Elevation,MHHW,MTL,Zstar,Channel Salinity,Channel Distance,Total Cover,Bare Ground Cover,Litter Cover,Acer negundo Cover,Acer negundo Height,Achillea millefolium Cover,Achillea millefolium Height,Agrostis stolonifera Cover,Agrostis stolonifera Height,Anemopsis californica Cover,Anemopsis californica Height,Apium graveolens Cover,Apium graveolens Height,Artemisia douglasiana Cover,Artemisia douglasiana Height,Atriplex prostrata Cover,Atriplex prostrata Height,Atriplex semibaccata Cover,Atriplex semibaccata Height,Azolla filiculoides Cover,Azolla filiculoides Height,Baccharis pilularis Cover,Baccharis pilularis Height,Baccharis salicifolia Cover,Baccharis salicifolia Height,Bistorta bistortoides Cover,Bistorta bistortoides Height,Bolboschoenus maritimus Cover,Bolboschoenus maritimus Height,Brassica nigra Cover,Brassica nigra Height,Bromus hordeaceus Cover,Bromus hordeaceus Height,Bromus maritimus Cover,Bromus maritimus Height,Calystegia sepium Cover,Calystegia sepium Height,Carduus pycnocephalus Cover,Carduus pycnocephalus Height,Carex nebrascensis Cover,Carex nebrascensis Height,Cephalanthus occidentalis Cover,Cephalanthus occidentalis Height,Ceratophyllum demersum Cover,Ceratophyllum demersum Height,Conyza canadensis Cover,Conyza canadensis Height,Cornus sericea Cover,Cornus sericea Height,Cotula coronopifolia Cover,Cotula coronopifolia Height,Cressa truxillensis Cover,Cressa truxillensis Height,Cuscuta salina Cover,Cuscuta salina Height,Distichlis spicata Cover,Distichlis spicata Height,Eichhornia crassipes Cover,Eichhornia crassipes Height,Eleocharis parvula Cover,Eleocharis parvula Height,Epilobium ciliatum Cover,Epilobium ciliatum Height,Euthamia occidentalis Cover,Euthamia occidentalis Height,Festuca microstachys Cover,Festuca microstachys Height,Festuca perennis Cover,Festuca perennis Height,Foeniculum vulgare Cover,Foeniculum vulgare Height,Frankenia salina Cover,Frankenia salina Height,Galium trifidum Cover,Galium trifidum Height,grass Cover,grass Height,Grindelia stricta Cover,Grindelia stricta Height,Hordeum brachyantherum Cover,Hordeum brachyantherum Height,Hordeum depressum Cover,Hordeum depressum Height,Iris pseudacorus Cover,Iris pseudacorus Height,Isolepis cernua Cover,Isolepis cernua Height,Jaumea carnosa Cover,Jaumea carnosa Height,Juncus balticus Cover,Juncus balticus Height,Juncus effusus Cover,Juncus effusus Height,Lathyrus jepsonii Cover,Lathyrus jepsonii Height,Lepidium latifolium Cover,Lepidium latifolium Height,Limonium californicum Cover,Limonium californicum Height,Lotus corniculatus Cover,Lotus corniculatus Height,Ludwigia peploides Cover,Ludwigia peploides Height,Lycopus asper Cover,Lycopus asper Height,Lysimachia maritima Cover,Lysimachia maritima Height,Melilotus indicus Cover,Melilotus indicus Height,Mesembryanthemum nodiflorum Cover,Mesembryanthemum nodiflorum Height,Mimulus guttatus Cover,Mimulus guttatus Height,Myriophyllum aquaticum Cover,Myriophyllum aquaticum Height,Paspalum distichum Cover,Paspalum distichum Height,Phoenix canariensis Cover,Phoenix canariensis Height,Phragmites australis Cover,Phragmites australis Height,Pluchea odorata Cover,Pluchea odorata Height,Polygonum aviculare Cover,Polygonum aviculare Height,Polygonum hydropiperoides Cover,Polygonum hydropiperoides Height,Polypogon monspeliensis Cover,Polypogon monspeliensis Height,Potentilla anserina Cover,Potentilla anserina Height,Rosa californica Cover,Rosa californica Height,Rubus armeniacus Cover,Rubus armeniacus Height,Rubus leucodermis Cover,Rubus leucodermis Height,Salicornia pacifica Cover,Salicornia pacifica Height,Salix exigua Cover,Salix exigua Height,Salix lasiolepis Cover,Salix lasiolepis Height,Schoenoplectus acutus or californicus Cover,Schoenoplectus acutus or californicus Height,Schoenoplectus americanus Cover,Schoenoplectus americanus Height,Sesbania punicea Cover,Sesbania punicea Height,Solanum americanum Cover,Solanum americanum Height,Sparganium eurycarpum Cover,Sparganium eurycarpum Height,Spartina foliosa Cover,Spartina foliosa Height,Symphyotrichum lentum Cover,Symphyotrichum lentum Height,Trifolium macraei Cover,Trifolium macraei Height,Typha sp Cover,Typha sp Height,Urtica dioica Cover,Urtica dioica Height,Zantedeschia aethiopica Cover,Zantedeschia aethiopica Height
A21,South SF Bay,"December 6, 2017",4146827.961,589784.6038,2.186,2.18,1.22,1.006,16.5,8.464,135,5,30,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,80,32,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,20,75,0,NA,0,NA,0,NA,0,NA,0,NA
A21,South SF Bay,"December 6, 2017",4146826.72,589809.7555,2.142,2.18,1.22,0.96,16.5,26.17,125,5,20,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,40,50,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,60,102,0,NA,0,NA,0,NA,0,NA,0,NA
A21,South SF Bay,"December 6, 2017",4146827.207,590015.2054,2.024,2.18,1.22,0.838,16.5,14.731,110,65,10,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,35,131,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
A21,South SF Bay,"December 6, 2017",4146826.141,589886.0381,2.069,2.18,1.22,0.884,16.5,6.187,105,45,20,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,40,109,0,NA,0,NA,0,NA,0,NA,0,NA
A21,South SF Bay,"December 6, 2017",4146826.475,589909.9401,2.036,2.18,1.22,0.85,16.5,11.105,130,40,10,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,40,125,0,NA,0,NA,0,NA,40,100,0,NA,0,NA,0,NA,0,NA,0,NA
A21,South SF Bay,"December 6, 2017",4146826.777,589967.603,1.962,2.18,1.22,0.773,16.5,16.127,110,40,10,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,60,161,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
A21,South SF Bay,"December 6, 2017",4146825.846,589934.3804,2.056,2.18,1.22,0.871,16.5,10.506,115,20,40,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,30,130,0,NA,0,NA,0,NA,25,91,0,NA,0,NA,0,NA,0,NA,0,NA
A21,South SF Bay,"December 6, 2017",4146826.648,589834.8497,1.993,2.18,1.22,0.805,16.5,42.783,100,10,90,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
A21,South SF Bay,"December 6, 2017",4146826.787,589859.2166,2.033,2.18,1.22,0.847,16.5,26.196,110,10,85,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,15,22,0,NA,0,NA,0,NA,0,NA,0,NA
A21,South SF Bay,"December 7, 2017",4146827.702,590534.6478,2.183,2.18,1.22,1.003,16.5,2.458,120,30,10,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,55,49,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,10,27,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,15,94,0,NA,0,NA,0,NA,0,NA,0,NA
